schemaID,payoff,conN,type,expN,expVar,conVar,Time,Subject
6,6,0.37594501680000003,replaced,47.54525908,18.83542809,0.03625758888768489,1,1
7,6,0.2164948456,same,50.91984497,22.17450084,0.03625758888768489,1,1
3,5,0.2632302408,same,38.11269084,9.358035718,0.03625758888768489,1,1
5,5,0.69209622,replaced,29.885084,10.26733847,0.03625758888768489,1,1
2,4,0.235738832,same,26.22740557,11.11918442,0.03625758888768489,1,1
9,4,0.6288659792,replaced,29.58977965,10.61967136,0.03625758888768489,1,1
1,3,0.5106529208,same,24.40043609,5.181766043,0.03625758888768489,1,1
10,3,0.2687285224,replaced,21.77354907,3.720593243,0.03625758888768489,1,1
4,2,0.2632302408,replaced,12.30300888,4.169477774,0.03625758888768489,1,1
8,2,0.6481099656,same,22.92546818,17.18497774,0.03625758888768489,1,1
6,6,0.49605909181680363,replaced,47.54525908,18.83542809,0.20555142474658483,2,1
7,6,0.3771262855826074,same,50.91984497,22.17450084,0.26632747219529046,2,1
3,5,0.4106099987178058,same,38.11269084,9.358035718,0.24644994909808798,2,1
5,5,0.7542745269194641,replaced,29.885084,10.26733847,0.11864777260057552,2,1
2,4,0.3883881719245893,same,26.22740557,11.11918442,0.2543543221082633,2,1
9,4,0.7024510186824506,replaced,29.58977965,10.61967136,0.13575787144505547,2,1
1,3,0.610401652766973,same,24.40043609,5.181766043,0.17500341017183885,2,1
10,3,0.4050661672521959,replaced,21.77354907,3.720593243,0.22988677949967323,2,1
4,2,0.38796690260759387,replaced,12.30300888,4.169477774,0.21248530493277018,2,1
8,2,0.7236789327590991,same,22.92546818,17.18497774,0.1387337629600281,2,1
6,6,0.49605909181680363,replaced,47.54525908,18.83542809,0.20555142474658483,3,1
7,6,0.3771262855826074,same,50.91984497,22.17450084,0.26632747219529046,3,1
3,5,0.4106099987178058,same,38.11269084,9.358035718,0.24644994909808798,3,1
5,5,0.6741596652251024,replaced,29.885084,10.26733847,0.20322573336194533,3,1
2,4,0.3883881719245893,same,26.22740557,11.11918442,0.2543543221082633,3,1
9,4,0.7024510186824506,replaced,29.58977965,10.61967136,0.13575787144505547,3,1
1,3,0.610401652766973,same,24.40043609,5.181766043,0.17500341017183885,3,1
10,3,0.36355716915082154,replaced,21.77354907,3.720593243,0.2231842428018328,3,1
4,2,0.38796690260759387,replaced,12.30300888,4.169477774,0.21248530493277018,3,1
8,2,0.7236789327590991,same,22.92546818,17.18497774,0.1387337629600281,3,1
6,6,0.4391998951949271,replaced,47.54525908,18.83542809,0.22917479225542417,4,1
7,6,0.3771262855826074,same,50.91984497,22.17450084,0.26632747219529046,4,1
3,5,0.2454073747076316,same,38.11269084,9.358035718,0.42031890038392283,4,1
5,5,0.6741596652251024,replaced,29.885084,10.26733847,0.20322573336194533,4,1
2,4,0.30712803313166176,same,26.22740557,11.11918442,0.29993823366517564,4,1
9,4,0.7024510186824506,replaced,29.58977965,10.61967136,0.13575787144505547,4,1
1,3,0.610401652766973,same,24.40043609,5.181766043,0.17500341017183885,4,1
